Dilation step;Dilation time [h];Porosity [%]; Cr content [%]; Cr content 2 [%]; Cr content 3 [%]; Cr content 4 [%];Surface [1/um]
0;0;28.562021;27;27;27;27;0.386126;
1;17.7814;27.110487;26.0575;26.3055;26.0575;26.0575;0.386126;
2;71.1257;25.720654;25.1551;25.6279;25.1551;25.1551;0.386126;
3;160.033;25.720654;24.2011;24.898;24.7093;24.7093;0.386373;
4;284.503;24.389154;23.3365;24.224;23.8266;23.8266;0.386373;
5;444.536;24.389154;22.3982;23.4786;23.3509;23.3509;0.386842;
