Dilation step;Dilation time [h];Porosity [%]; Cr content [%]; Cr content 2 [%]; Cr content 3 [%]; Cr content 4 [%];Surface [1/um]
0;0;27.867178;20;20;20;20;0.141803;
1;13.5976;26.701481;19.2504;19.3958;19.2504;19.2504;0.141803;
2;54.3902;25.581497;18.5302;18.8066;18.5302;18.5302;0.141803;
3;122.378;25.581497;17.775;18.1795;18.0692;18.0692;0.141009;
4;217.561;24.480352;17.067;17.5827;17.3494;17.3494;0.141009;
5;339.939;24.480352;16.3322;16.954;16.8742;16.8742;0.142041;
6;489.512;23.398190;15.6363;16.3498;16.1553;16.1553;0.142041;
7;666.28;23.398190;14.899;15.6998;15.6505;15.6505;0.143084;
8;870.244;22.339584;14.2183;15.0908;14.9354;14.9354;0.143084;
9;1101.4;22.339584;13.4781;14.4184;14.3993;14.3993;0.144264;
10;1359.76;21.312401;12.8175;13.8094;13.6936;13.6936;0.144264;
11;1645.3;21.312401;12.0731;13.1125;13.1233;13.1233;0.145378;
12;1958.05;20.322680;11.4366;12.5077;12.4315;12.4315;0.145378;
13;2297.99;20.322680;10.6887;11.7861;11.8258;11.8258;0.146367;
14;2665.12;19.371469;10.077;11.1871;11.149;11.149;0.146367;
15;3059.45;19.371469;9.32575;10.4402;10.5061;10.5061;0.147323;
16;3480.98;18.465389;8.74311;9.85216;9.84971;9.84971;0.147323;
17;3929.69;18.465389;7.98898;9.07953;9.16806;9.16806;0.14832;
18;4405.61;17.597216;7.43071;8.49897;8.52739;8.52739;0.14832;
