Dilation step;Dilation time [h];Porosity [%]; Cr content [%]; Cr content 2 [%]; Cr content 3 [%]; Cr content 4 [%];Surface [1/um]
0;0;27.867178;22;22;22;22;0.141803;
1;10.0504;26.701481;21.2504;21.4109;21.2504;21.2504;0.141803;
2;40.2015;25.581497;20.5302;20.8365;20.5302;20.5302;0.141803;
3;90.4533;25.581497;19.775;20.225;20.1023;20.1023;0.141009;
4;160.806;24.480352;19.067;19.6431;19.3825;19.3825;0.141009;
5;251.259;24.480352;18.3322;19.0302;18.9406;18.9406;0.142041;
6;361.813;23.398190;17.6363;18.441;18.2216;18.2216;0.142041;
7;492.468;23.398190;16.899;17.8073;17.7514;17.7514;0.143084;
8;643.224;22.339584;16.2183;17.2135;17.0363;17.0363;0.143084;
9;814.08;22.339584;15.4781;16.558;16.536;16.536;0.144264;
10;1005.04;21.312401;14.8175;15.9642;15.8303;15.8303;0.144264;
11;1216.09;21.312401;14.0731;15.2847;15.2973;15.2973;0.145378;
12;1447.25;20.322680;13.4366;14.695;14.6055;14.6055;0.145378;
13;1698.51;20.322680;12.6887;13.9915;14.0385;14.0385;0.146367;
14;1969.87;19.371469;12.077;13.4074;13.3618;13.3618;0.146367;
15;2261.33;19.371469;11.3258;12.6792;12.7592;12.7592;0.147323;
16;2572.89;18.465389;10.7431;12.1059;12.1028;12.1028;0.147323;
17;2904.56;18.465389;9.98898;11.3525;11.4632;11.4632;0.14832;
18;3256.32;17.597216;9.43071;10.7865;10.8226;10.8226;0.14832;
