Dilation step;Dilation time [h];Porosity [%]; Cr content [%]; Cr content 2 [%]; Cr content 3 [%]; Cr content 4 [%];Surface [1/um]
0;0;28.716883;20;20;20;20;0.153788;
1;13.5976;27.438173;19.1679;19.3288;19.1679;19.1679;0.153788;
2;54.3902;26.233276;18.3839;18.6859;18.3839;18.3839;0.153788;
3;122.378;26.233276;17.5476;17.9888;17.8698;17.8698;0.151369;
4;217.561;25.045097;16.7745;17.3336;17.0825;17.0825;0.151369;
5;339.939;25.045097;15.9762;16.646;16.5597;16.5597;0.152004;
6;489.512;23.879770;15.2179;15.9822;15.7738;15.7738;0.152004;
7;666.28;23.879770;14.419;15.2713;15.2173;15.2173;0.152544;
8;870.244;22.740786;13.6778;14.6009;14.4352;14.4352;0.152544;
9;1101.4;22.740786;12.8792;13.8666;13.8439;13.8439;0.153294;
10;1359.76;21.634588;12.1594;13.1939;13.0702;13.0702;0.153294;
11;1645.3;21.634588;11.3589;12.4332;12.4404;12.4404;0.153869;
12;1958.05;20.568716;10.6653;11.7634;11.6808;11.6808;0.153869;
13;2297.99;20.568716;9.86425;10.9768;11.0118;11.0118;0.154512;
14;2665.12;19.550709;9.20183;10.3157;10.2723;10.2723;0.154512;
15;3059.45;19.550709;8.39913;9.50137;9.56094;9.56094;0.155058;
16;3480.98;18.574041;7.76361;8.84605;8.83751;8.83751;0.155058;
17;3929.69;18.574041;6.96023;8.00392;8.08235;8.08235;0.155704;
18;4405.61;17.639891;6.35237;7.35634;7.3765;7.3765;0.155704;
