Dilation step;Dilation time [h];Porosity [%]; Cr content [%]; Cr content 2 [%]; Cr content 3 [%]; Cr content 4 [%];Surface [1/um]
0;0;28.716883;22;22;22;22;0.153788;
1;10.0504;27.438173;21.1679;21.3455;21.1679;21.1679;0.153788;
2;40.2015;26.233276;20.3839;20.7187;20.3839;20.3839;0.153788;
3;90.4533;26.233276;19.5476;20.0391;19.9065;19.9065;0.151369;
4;160.806;25.045097;18.7745;19.4002;19.1192;19.1192;0.151369;
5;251.259;25.045097;17.9762;18.7298;18.6328;18.6328;0.152004;
6;361.813;23.879770;17.2179;18.0826;17.8468;17.8468;0.152004;
7;492.468;23.879770;16.419;17.3895;17.3281;17.3281;0.152544;
8;643.224;22.740786;15.6778;16.7359;16.5459;16.5459;0.152544;
9;814.08;22.740786;14.8792;16.02;15.9937;15.9937;0.153294;
10;1005.04;21.634588;14.1594;15.3641;15.22;15.22;0.153294;
11;1216.09;21.634588;13.3589;14.6224;14.6309;14.6309;0.153869;
12;1447.25;20.568716;12.6653;13.9693;13.8713;13.8713;0.153869;
13;1698.51;20.568716;11.8642;13.2024;13.2445;13.2445;0.154512;
14;1969.87;19.550709;11.2018;12.5578;12.505;12.505;0.154512;
15;2261.33;19.550709;10.3991;11.7638;11.8376;11.8376;0.155058;
16;2572.89;18.574041;9.76361;11.1249;11.1142;11.1142;0.155058;
17;2904.56;18.574041;8.96023;10.3038;10.4048;10.4048;0.155704;
18;3256.32;17.639891;8.35237;9.67243;9.69894;9.69894;0.155704;
