Dilation step;Dilation time [h];Porosity [%]; Cr content [%]; Cr content 2 [%]; Cr content 3 [%]; Cr content 4 [%];Surface [1/um]
0;0;28.313801;20;20;20;20;0.150147;
1;13.5976;27.064049;19.1914;19.3478;19.1914;19.1914;0.150147;
2;54.3902;25.890499;18.432;18.7256;18.432;18.432;0.150147;
3;122.378;25.890499;17.6182;18.0481;17.9328;17.9328;0.147935;
4;217.561;24.736673;16.8716;17.4165;17.1729;17.1729;0.147935;
5;339.939;24.736673;16.0943;16.7484;16.666;16.666;0.148861;
6;489.512;23.607601;15.3637;16.1107;15.9095;15.9095;0.148861;
7;666.28;23.607601;14.5847;15.4197;15.3701;15.3701;0.149709;
8;870.244;22.504740;13.8711;14.7767;14.618;14.618;0.149709;
9;1101.4;22.504740;13.0911;14.0627;14.045;14.045;0.150779;
10;1359.76;21.431871;12.3969;13.417;13.3002;13.3002;0.150779;
11;1645.3;21.431871;11.6136;12.6767;12.6897;12.6897;0.151696;
12;1958.05;20.391727;10.9405;12.0304;11.9543;11.9543;0.151696;
13;2297.99;20.391727;10.1552;11.2641;11.3053;11.3053;0.15272;
14;2665.12;19.390982;9.50766;10.6222;10.5845;10.5845;0.15272;
15;3059.45;19.390982;8.71895;9.82761;9.89371;9.89371;0.15364;
16;3480.98;18.428551;8.09621;9.19019;9.18707;9.18707;0.15364;
17;3929.69;18.428551;7.30507;8.36729;8.45294;8.45294;0.15456;
18;4405.61;17.507816;6.70931;7.73771;7.76357;7.76357;0.15456;
