Dilation step;Dilation time [h];Porosity [%]; Cr content [%]; Cr content 2 [%]; Cr content 3 [%]; Cr content 4 [%];Surface [1/um]
0;0;28.313801;22;22;22;22;0.150147;
1;10.0504;27.064049;21.1914;21.3641;21.1914;21.1914;0.150147;
2;40.2015;25.890499;20.432;20.7575;20.432;20.432;0.150147;
3;90.4533;25.890499;19.6182;20.0969;19.9685;19.9685;0.147935;
4;160.806;24.736673;18.8716;19.481;19.2086;19.2086;0.147935;
5;251.259;24.736673;18.0943;18.8297;18.737;18.737;0.148861;
6;361.813;23.607601;17.3637;18.2079;17.9805;17.9805;0.148861;
7;492.468;23.607601;16.5847;17.5342;17.4778;17.4778;0.149709;
8;643.224;22.504740;15.8711;16.9073;16.7257;16.7257;0.149709;
9;814.08;22.504740;15.0911;16.2111;16.1907;16.1907;0.150779;
10;1005.04;21.431871;14.3969;15.5816;15.4459;15.4459;0.150779;
11;1216.09;21.431871;13.6136;14.8598;14.875;14.875;0.151696;
12;1447.25;20.391727;12.9405;14.2297;14.1396;14.1396;0.151696;
13;1698.51;20.391727;12.1552;13.4825;13.5318;13.5318;0.15272;
14;1969.87;19.390982;11.5077;12.8566;12.811;12.811;0.15272;
15;2261.33;19.390982;10.7189;12.0819;12.1632;12.1632;0.15364;
16;2572.89;18.428551;10.0962;11.4604;11.4565;11.4565;0.15364;
17;2904.56;18.428551;9.30507;10.6581;10.7672;10.7672;0.15456;
18;3256.32;17.507816;8.70931;10.0443;10.0778;10.0778;0.15456;
