Dilation step;Dilation time [h];Porosity [%]; Cr content [%]; Cr content 2 [%]; Cr content 3 [%]; Cr content 4 [%];Surface [1/um]
0;0;29.550917;20;20;20;20;0.145232;
1;13.5976;28.333532;19.1985;19.3536;19.1985;19.1985;0.145232;
2;54.3902;27.181656;18.4401;18.7323;18.4401;18.4401;0.145232;
3;122.378;27.181656;17.6336;18.061;17.9456;17.9456;0.143284;
4;217.561;26.049778;16.8884;17.4308;17.1872;17.1872;0.143284;
5;339.939;26.049778;16.1164;16.7676;16.6842;16.6842;0.144163;
6;489.512;24.935167;15.3826;16.1272;15.9245;15.9245;0.144163;
7;666.28;24.935167;14.6092;15.4416;15.3894;15.3894;0.145086;
8;870.244;23.836985;13.8861;14.7904;14.6278;14.6278;0.145086;
9;1101.4;23.836985;13.1109;14.0809;14.0586;14.0586;0.146092;
10;1359.76;22.758884;12.401;13.4209;13.2975;13.2975;0.146092;
11;1645.3;22.758884;11.6226;12.6853;12.6912;12.6912;0.147036;
12;1958.05;21.706266;10.9296;12.0198;11.9344;11.9344;0.147036;
13;2297.99;21.706266;10.1483;11.2574;11.289;11.289;0.148029;
14;2665.12;20.687317;9.47745;10.592;10.5427;10.5427;0.148029;
15;3059.45;20.687317;8.69282;9.80105;9.85533;9.85533;0.148982;
16;3480.98;19.704567;8.04577;9.13817;9.12175;9.12175;0.148982;
17;3929.69;19.704567;7.25817;8.31804;8.39033;8.39033;0.149878;
18;4405.61;18.764036;6.63891;7.66274;7.67449;7.67449;0.149878;
