Dilation step;Dilation time [h];Porosity [%]; Cr content [%]; Cr content 2 [%]; Cr content 3 [%]; Cr content 4 [%];Surface [1/um]
0;0;29.550917;22;22;22;22;0.145232;
1;10.0504;28.333532;21.1985;21.3698;21.1985;21.1985;0.145232;
2;40.2015;27.181656;20.4401;20.764;20.4401;20.4401;0.145232;
3;90.4533;27.181656;19.6336;20.1095;19.981;19.981;0.143284;
4;160.806;26.049778;18.8884;19.495;19.2226;19.2226;0.143284;
5;251.259;26.049778;18.1164;18.8484;18.7546;18.7546;0.144163;
6;361.813;24.935167;17.3826;18.224;17.9949;17.9949;0.144163;
7;492.468;24.935167;16.6092;17.5555;17.4963;17.4963;0.145086;
8;643.224;23.836985;15.8861;16.9206;16.7346;16.7346;0.145086;
9;814.08;23.836985;15.1109;16.2289;16.2032;16.2032;0.146092;
10;1005.04;22.758884;14.401;15.5854;15.4421;15.4421;0.146092;
11;1216.09;22.758884;13.6226;14.8682;14.8751;14.8751;0.147036;
12;1447.25;21.706266;12.9296;14.2193;14.1183;14.1183;0.147036;
13;1698.51;21.706266;12.1483;13.4759;13.5138;13.5138;0.148029;
14;1969.87;20.687317;11.4774;12.8272;12.7675;12.7675;0.148029;
15;2261.33;20.687317;10.6928;12.056;12.1228;12.1228;0.148982;
16;2572.89;19.704567;10.0458;11.4097;11.3892;11.3892;0.148982;
17;2904.56;19.704567;9.25817;10.6101;10.7023;10.7023;0.149878;
18;3256.32;18.764036;8.63891;9.97117;9.98645;9.98645;0.149878;
