Dilation step;Dilation time [h];Porosity [%]; Cr content [%]; Cr content 2 [%]; Cr content 3 [%]; Cr content 4 [%];Surface [1/um]
0;0;27.383297;22;22;22;22;0.159761;
1;10.0504;26.055494;21.1519;21.3328;21.1519;21.1519;0.159761;
2;40.2015;24.794855;20.3466;20.6887;20.3466;20.3466;0.159761;
3;90.4533;24.794855;19.493;19.9942;19.8584;19.8584;0.158003;
4;160.806;23.556229;18.7018;19.3397;19.0524;19.0524;0.158003;
5;251.259;23.556229;17.8778;18.6465;18.5487;18.5487;0.158825;
6;361.813;22.341408;17.1019;17.9827;17.7436;17.7436;0.158825;
7;492.468;22.341408;16.2766;17.2647;17.205;17.205;0.159665;
8;643.224;21.154343;15.5184;16.5939;16.4035;16.4035;0.159665;
9;814.08;21.154343;14.6923;15.8506;15.8283;15.8283;0.160715;
10;1005.04;20.004259;13.9577;15.1784;15.0369;15.0369;0.160715;
11;1216.09;20.004259;13.1287;14.4068;14.4215;14.4215;0.161654;
12;1447.25;18.898556;12.4225;13.7383;13.6457;13.6457;0.161654;
13;1698.51;18.898556;11.5916;12.9383;12.9885;12.9885;0.162642;
14;1969.87;17.844139;10.9181;12.2788;12.2339;12.2339;0.162642;
15;2261.33;17.844139;10.0843;11.4484;11.5319;11.5319;0.163492;
16;2572.89;16.838799;9.44211;10.7981;10.7975;10.7975;0.163492;
17;2904.56;16.838799;8.60669;9.93767;10.0491;10.0491;0.16424;
18;3256.32;15.885380;7.99769;9.29989;9.33808;9.33808;0.16424;
