Dilation step;Dilation time [h];Porosity [%]; Cr content [%]; Cr content 2 [%]; Cr content 3 [%]; Cr content 4 [%];Surface [1/um]
0;0;27.383297;20;20;20;20;0.159761;
1;13.5976;26.055494;19.1519;19.3157;19.1519;19.1519;0.159761;
2;54.3902;24.794855;18.3466;18.6551;18.3466;18.3466;0.159761;
3;122.378;24.794855;17.493;17.9428;17.821;17.821;0.158003;
4;217.561;23.556229;16.7018;17.2715;17.0149;17.0149;0.158003;
5;339.939;23.556229;15.8778;16.5605;16.4737;16.4737;0.158825;
6;489.512;22.341408;15.1019;15.8797;15.6686;15.6686;0.158825;
7;666.28;22.341408;14.2766;15.1433;15.0909;15.0909;0.159665;
8;870.244;21.154343;13.5184;14.4553;14.2894;14.2894;0.159665;
9;1101.4;21.154343;12.6923;13.693;13.6737;13.6737;0.160715;
10;1359.76;20.004259;11.9577;13.0035;12.8822;12.8822;0.160715;
11;1645.3;20.004259;11.1287;12.2121;12.2246;12.2246;0.161654;
12;1958.05;18.898556;10.4225;11.5264;11.4487;11.4487;0.161654;
13;2297.99;18.898556;9.59159;10.7059;10.7475;10.7475;0.162642;
14;2665.12;17.844139;8.91807;10.0295;9.99284;9.99284;0.162642;
15;3059.45;17.844139;8.08428;9.17789;9.24476;9.24476;0.163492;
16;3480.98;16.838799;7.44211;8.5109;8.51042;8.51042;0.163492;
17;3929.69;16.838799;6.60669;7.62839;7.71395;7.71395;0.16424;
18;4405.61;15.885380;5.99769;6.97425;7.00289;7.00289;0.16424;
