Dilation step;Dilation time [h];Porosity [%]; Cr content [%]; Cr content 2 [%]
0;0;28.402100;27;27;
1;17.7814;27.076384;26.1411;26.3676;
2;71.1257;25.834707;25.3367;25.7653;
3;160.033;24.618660;24.5489;25.1658;
4;284.503;23.432182;23.7803;24.5714;
5;444.536;22.276920;23.0319;23.9836;
6;640.131;21.159983;22.3083;23.4064;
7;871.29;20.083542;21.6109;22.8419;
8;1138.01;19.058310;20.9467;22.2964;
9;1440.3;18.089367;20.319;21.7737;
10;1778.14;17.170465;19.7237;21.2715;
11;2151.55;16.291851;19.1545;20.7852;
12;2560.52;15.449948;18.6091;20.3136;
13;3005.06;14.642302;18.0858;19.8558;
14;3485.16;13.874276;17.5883;19.4156;
15;4000.82;13.145955;17.1164;18.9937;
16;4552.04;12.456514;16.6698;18.5902;
17;5138.83;11.802361;16.246;18.2036;
18;5761.18;11.182963;15.8447;17.8342;
