Dilation step;Porosity [%]; Cr content [%];
0;28.402100;22;
1;27.076384;21.1411;
2;25.834707;20.3367;
3;24.618660;19.5489;
4;23.432182;18.7803;
5;22.276920;18.0319;
6;21.159983;17.3083;
7;20.083542;16.6109;
8;19.058310;15.9467;
9;18.089367;15.319;
10;17.170465;14.7237;
11;16.291851;14.1545;
12;15.449948;13.6091;
13;14.642302;13.0858;
14;13.874276;12.5883;
15;13.145955;12.1164;
16;12.456514;11.6698;
17;11.802361;11.246;
18;11.182963;10.8447;
