Dilation step;Dilation time [h];Porosity [%]; Cr content [%]; Cr content 2 [%]; Cr content 3 [%]; Cr content 4 [%];Surface [1/um]
0;0;28.402100;20;20;20;20;0.159224;
1;13.5976;27.076384;19.1411;19.307;19.1411;19.1411;0.159224;
2;54.3902;25.834707;18.3367;18.6469;18.3367;18.3367;0.159224;
3;122.378;25.834707;17.4716;17.9248;17.8037;17.8037;0.156995;
4;217.561;24.618660;16.6838;17.256;17.0009;17.0009;0.156995;
5;339.939;24.618660;15.8559;16.5414;16.4566;16.4566;0.157905;
6;489.512;23.432182;15.0873;15.8668;15.6588;15.6588;0.157905;
7;666.28;23.432182;14.259;15.1275;15.0786;15.0786;0.15882;
8;870.244;22.276920;13.5106;14.4482;14.2872;14.2872;0.15882;
9;1101.4;22.276920;12.6816;13.683;13.6689;13.6689;0.159924;
10;1359.76;21.159983;11.958;13.0038;12.8889;12.8889;0.159924;
11;1645.3;21.159983;11.1258;12.2093;12.2284;12.2284;0.160991;
12;1958.05;20.083542;10.4284;11.5323;11.462;11.462;0.160991;
13;2297.99;20.083542;9.59358;10.7079;10.7572;10.7572;0.162087;
14;2665.12;19.058310;8.92939;10.041;10.0124;10.0124;0.162087;
15;3059.45;19.058310;8.09111;9.18494;9.26012;9.26012;0.163141;
16;3480.98;18.089367;7.46339;8.53316;8.54171;8.54171;0.163141;
17;3929.69;18.089367;6.62241;7.64515;7.73982;7.73982;0.164153;
18;4405.61;17.170465;6.02711;7.00606;7.04407;7.04407;0.164153;
