Dilation step;Dilation time [h];Porosity [%]; Cr content [%]; Cr content 2 [%]
0;0;30.108225;22;22;
1;10.0504;28.759485;21.1049;21.2955;
2;40.2015;27.482435;20.2574;20.6166;
3;90.4533;26.226320;19.4237;19.9374;
4;160.806;24.992956;18.6052;19.259;
5;251.259;23.784355;17.8031;18.583;
6;361.813;22.605522;17.0208;17.9127;
7;492.468;21.456928;16.2585;17.2488;
8;643.224;20.347298;15.5221;16.5972;
9;814.08;19.280653;14.8142;15.9611;
10;1005.04;18.257694;14.1353;15.3419;
11;1216.09;17.280266;13.4866;14.7416;
12;1447.25;16.347975;12.8679;14.1611;
13;1698.51;15.459621;12.2784;13.6006;
14;1969.87;14.617608;11.7195;13.0624;
15;2261.33;13.817996;11.1889;12.5452;
16;2572.89;13.055388;10.6828;12.046;
17;2904.56;12.332414;10.203;11.5676;
18;3256.32;11.650217;9.75022;11.1113;
