Dilation step;Dilation time [h];Porosity [%]; Cr content [%]; Cr content 2 [%]; Cr content 3 [%]; Cr content 4 [%];Surface [1/um]
0;0;30.108225;20;20;20;20;0.161754;
1;13.5976;28.759485;19.1049;19.2775;19.1049;19.1049;0.161754;
2;54.3902;27.482435;18.2574;18.5812;18.2574;18.2574;0.161754;
3;122.378;27.482435;17.3583;17.8293;17.7014;17.7014;0.159072;
4;217.561;26.226320;16.5247;17.1197;16.8513;16.8513;0.159072;
5;339.939;26.226320;15.6668;16.3764;16.2836;16.2836;0.159677;
6;489.512;24.992956;14.8483;15.6548;15.4329;15.4329;0.159677;
7;666.28;24.992956;13.9903;14.8849;14.8261;14.8261;0.16021;
8;870.244;23.784355;13.1882;14.1522;13.9761;13.9761;0.16021;
9;1101.4;23.784355;12.331;13.3552;13.3288;13.3288;0.160939;
10;1359.76;22.605522;11.5487;12.6148;12.4831;12.4831;0.160939;
11;1645.3;22.605522;10.6897;11.7871;11.7906;11.7906;0.161389;
12;1958.05;21.456928;9.92739;11.0393;10.9498;10.9498;0.161389;
13;2297.99;21.456928;9.06827;10.1813;10.2108;10.2108;0.161908;
14;2665.12;20.347298;8.33186;9.43245;9.38163;9.38163;0.161908;
15;3059.45;20.347298;7.47198;8.54214;8.59278;8.59278;0.162355;
16;3480.98;19.280653;6.7641;7.79596;7.77871;7.77871;0.162355;
17;3929.69;19.280653;5.90409;6.87289;6.93763;6.93763;0.16284;
18;4405.61;18.257694;5.2252;6.13105;6.13989;6.13989;0.16284;
