Dilation step;Dilation time [h];Porosity [%]; Cr content [%]; Cr content 2 [%]; Cr content 3 [%]; Cr content 4 [%];Surface [1/um]
0;0;30.108225;22;22;22;22;0.161754;
1;10.0504;28.759485;21.1049;21.2955;21.1049;21.1049;0.161754;
2;40.2015;27.482435;20.2574;20.6166;20.2574;20.2574;0.161754;
3;90.4533;27.482435;19.3583;19.8836;19.741;19.741;0.159072;
4;160.806;26.226320;18.5247;19.1917;18.8909;18.8909;0.159072;
5;251.259;26.226320;17.6668;18.467;18.3623;18.3623;0.159677;
6;361.813;24.992956;16.8483;17.7634;17.5116;17.5116;0.159677;
7;492.468;24.992956;15.9903;17.0127;16.9456;16.9456;0.16021;
8;643.224;23.784355;15.1882;16.2984;16.0956;16.0956;0.16021;
9;814.08;23.784355;14.331;15.5214;15.4906;15.4906;0.160939;
10;1005.04;22.605522;13.5487;14.7994;14.6449;14.6449;0.160939;
11;1216.09;22.605522;12.6897;13.9924;13.9966;13.9966;0.161389;
12;1447.25;21.456928;11.9274;13.2634;13.1558;13.1558;0.161389;
13;1698.51;21.456928;11.0683;12.4267;12.4628;12.4628;0.161908;
14;1969.87;20.347298;10.3319;11.6966;11.6336;11.6336;0.161908;
15;2261.33;20.347298;9.47198;10.8286;10.8928;10.8928;0.162355;
16;2572.89;19.280653;8.7641;10.1011;10.0787;10.0787;0.162355;
17;2904.56;19.280653;7.90409;9.20107;9.28774;9.28774;0.16284;
18;3256.32;18.257694;7.2252;8.47777;8.49;8.49;0.16284;
