Dilation step;Dilation time [h];Porosity [%]; Cr content [%]; Cr content 2 [%]; Cr content 3 [%]; Cr content 4 [%];Surface [1/um]
0;0;29.598108;22;22;22;22;0.150804;
1;10.0504;28.336254;21.1686;21.3461;21.1686;21.1686;0.150804;
2;40.2015;27.148464;20.3861;20.7205;20.3861;20.3861;0.150804;
3;90.4533;27.148464;19.5486;20.0399;19.9081;19.9081;0.14884;
4;160.806;25.983509;18.7811;19.4058;19.1264;19.1264;0.14884;
5;251.259;25.983509;17.9807;18.7337;18.6388;18.6388;0.149977;
6;361.813;24.842533;17.229;18.0922;17.8596;17.8596;0.149977;
7;492.468;24.842533;16.4258;17.3955;17.3383;17.3383;0.15094;
8;643.224;23.728619;15.6919;16.7484;16.5636;16.5636;0.15094;
9;814.08;23.728619;14.8868;16.0268;16.007;16.007;0.151907;
10;1005.04;22.653196;14.1782;15.3813;15.2451;15.2451;0.151907;
11;1216.09;22.653196;13.3704;14.6332;14.6509;14.6509;0.152855;
12;1447.25;21.619682;12.6895;13.9923;13.9048;13.9048;0.152855;
13;1698.51;21.619682;11.8794;13.217;13.271;13.271;0.153904;
14;1969.87;20.628216;11.2261;12.5817;12.5413;12.5413;0.153904;
15;2261.33;20.628216;10.4124;11.7771;11.8648;11.8648;0.154885;
16;2572.89;19.681433;9.78864;11.1502;11.154;11.154;0.154885;
17;2904.56;19.681433;8.97222;10.3162;10.4329;10.4329;0.155991;
18;3256.32;18.780003;8.37832;9.69956;9.74233;9.74233;0.155991;
