Dilation step;Dilation time [h];Porosity [%]; Cr content [%]; Cr content 2 [%]; Cr content 3 [%]; Cr content 4 [%];Surface [1/um]
0;0;27.238155;22;22;22;22;0.153773;
1;10.0504;25.947329;21.1771;21.3528;21.1771;21.1771;0.153773;
2;40.2015;24.737906;20.4061;20.7367;20.4061;20.4061;0.153773;
3;90.4533;24.737906;19.5771;20.0632;19.9334;19.9334;0.151689;
4;160.806;23.548912;18.8192;19.4374;19.1616;19.1616;0.151689;
5;251.259;23.548912;18.0269;18.7728;18.6799;18.6799;0.152802;
6;361.813;22.382446;17.2833;18.1389;17.9093;17.9093;0.152802;
7;492.468;22.382446;16.4886;17.4503;17.3946;17.3946;0.153787;
8;643.224;21.236950;15.7583;16.8074;16.6242;16.6242;0.153787;
9;814.08;21.236950;14.9621;16.0949;16.0754;16.0754;0.15496;
10;1005.04;20.117214;14.2483;15.4456;15.3085;15.3085;0.15496;
11;1216.09;20.117214;13.4485;14.7061;14.7219;14.7219;0.156065;
12;1447.25;19.028137;12.7543;14.0536;13.9619;13.9619;0.156065;
13;1698.51;19.028137;11.9518;13.2869;13.336;13.336;0.157229;
14;1969.87;17.980244;11.2838;12.6381;12.5906;12.5906;0.157229;
15;2261.33;17.980244;10.4772;11.8417;11.922;11.922;0.158368;
16;2572.89;16.975445;9.83671;11.1989;11.1931;11.1931;0.158368;
17;2904.56;16.975445;9.02712;10.3728;10.4801;10.4801;0.159517;
18;3256.32;16.018803;8.41728;9.74027;9.77206;9.77206;0.159517;
