Dilation step;Dilation time [h];Porosity [%]; Cr content [%]; Cr content 2 [%]
0;0;29.906729;22;22;
1;10.0504;28.643417;21.164;21.3424;
2;40.2015;27.455572;20.378;20.7139;
3;90.4533;26.294201;19.6094;20.0897;
4;160.806;25.158552;18.8579;19.4697;
5;251.259;24.048809;18.1235;18.8544;
6;361.813;22.974993;17.4129;18.2501;
7;492.468;21.941738;16.7292;17.66;
8;643.224;20.952032;16.0742;17.0868;
9;814.08;20.003588;15.4466;16.5299;
10;1005.04;19.096861;14.8466;15.9904;
11;1216.09;18.236538;14.2773;15.4721;
12;1447.25;17.420868;13.7375;14.9748;
13;1698.51;16.642015;13.2221;14.4944;
14;1969.87;15.899493;12.7307;14.0313;
15;2261.33;15.191203;12.262;13.5849;
16;2572.89;14.515607;11.8149;13.1548;
17;2904.56;13.870176;11.3878;12.7398;
18;3256.32;13.252594;10.9791;12.339;
