Dilation step;Dilation time [h];Porosity [%]; Cr content [%]; Cr content 2 [%]; Cr content 3 [%]; Cr content 4 [%];Surface [1/um]
0;0;29.906729;20;20;20;20;0.152514;
1;13.5976;28.643417;19.164;19.3256;19.164;19.164;0.152514;
2;54.3902;27.455572;18.378;18.681;18.3779;18.3779;0.152514;
3;122.378;27.455572;17.5353;17.9784;17.8598;17.8598;0.150872;
4;217.561;26.294201;16.7668;17.327;17.077;17.077;0.150872;
5;339.939;26.294201;15.954;16.6267;16.5445;16.5445;0.151852;
6;489.512;25.158552;15.2025;15.9686;15.7652;15.7652;0.151852;
7;666.28;25.158552;14.389;15.2443;15.1979;15.1979;0.152953;
8;870.244;24.048809;13.6546;14.5798;14.4223;14.4223;0.152953;
9;1101.4;24.048809;12.8398;13.8301;13.8181;13.8181;0.15423;
10;1359.76;22.974993;12.1293;13.1655;13.0533;13.0533;0.15423;
11;1645.3;22.974993;11.3107;12.387;12.408;12.408;0.155501;
12;1958.05;21.941738;10.6269;11.726;11.658;11.658;0.155501;
13;2297.99;21.941738;9.80489;10.918;10.9694;10.9694;0.156754;
14;2665.12;20.952032;9.14996;10.2636;10.2367;10.2367;0.156754;
15;3059.45;20.952032;8.32371;9.42409;9.50169;9.50169;0.157885;
16;3480.98;20.003588;7.69608;8.77585;8.78524;8.78524;0.157885;
17;3929.69;20.003588;6.86677;7.90494;8.00188;8.00188;0.159081;
18;4405.61;19.096861;6.26674;7.26438;7.30266;7.30266;0.159081;
